categoria,product_name,proteins_100g,fat_100g,carbohydrates_100g,energy-kcal_100g,nutriscore_grade
meats,Allumettes de poulet,19,6,0.5,130,b
meats,HERTA KNACKI Saucisses 100% pur porc sans nitrite x10 350g,13,23,1.5,265,e
meats,Fuet Espetec,27.5,34,1.4,421,e
meats,HERTA LE BON PARIS Jambon à l'étouffée sans nitrite x8 -280g,21,2,0,102,c
meats,Gebraden Ham / Jambon Rôti,20,3,2,115,c
meats,Rôti de Porc - 25% de Sel*,24,3,0.9,127,c
meats,Yaourt cereal,2.3,3,14.7,95,e
meats,Chorizo entier,18,46,3,498,e
meats,Le pâté de porc Hénaff,17,21,0.5,257,d
meats,Aiguillettes de poulet aux épices tandoori,23,2.5,2.2,121,a
meats,HERTA LE BON PARIS Jambon à l'étouffée x2 - 85g,21,2.3,0,104.7,c
meats,Le Torchon - Cuit à l'Etouffée  - 25% de sel*,22,2.8,0.5,115,c
meats,Jambon - Simplement bon à l'étouffée,22,2.75,0.4375,115,c
meats,Blanc de poulet 100% filet,20,2.4,0.8,106,a
meats,Escalope cordon bleu de poulet 100% filets,14,9.1,15,202,c
meats,Coq ailes Nature 250g,20,10,6.1,198,b
meats,Tiras de pechuga de pollo al horno,23.4,1.2,0.6,76.4285714285714,b
meats,Nuggets de poulet 100% filet,16,10,18,228,a
meats,HERTA Bacon CSN 10T,21,2.9,0.5,110,d
meats,HERTA KNACKI Saucisses 100% Poulet x6 - 210g,15,15,2,203,d
pasta,Gnocchi à poêler,5,2.7,35,190,c
pasta,SPAGHETTI No 5,13,2,71,359,a
pasta,Lustucru gnocchi a poêler 520g,5,2.7,35,190,c
pasta,INTEGRALE WHOLE WHEAT PENNE RIGATE,13,2.5,64,347,a
pasta,,10,0,67,442,unknown
pasta,Nouille instantanées goût poulet,,,,,c
pasta,PENNE RIGATE N°73,13,2,71,359,a
pasta,Lasagne all'uovo,14,4,68,368,a
pasta,"Ravioli au tofu, tomates, basilic",3.8,3.1,15,111,b
pasta,Fusilli 98,13,2,71,359,a
pasta,Ricotta & Épinards,11,11,25,251,c
pasta,Gnocchi aux pommes de terre,5.1,2.7,36,193,c
pasta,Pâtes spaghetti au blé complet integral 500g,13,2.5,64,347,a
pasta,Spaghetti au Quinoa Persil Ail,12,2.2,76,381,a
pasta,"céréales et légumes, façon pad thaï, bio",5.8,4.5,12,121.363636363636,b
pasta,Girasoli Pesto basilic et pignons,8.7,16,29,309,c
pasta,Indomie instant noodles baladi chicken flavor,11.42,17.14,61.42,452.8,unknown
pasta,Spaghetti Senza Glutine,6.5,1.5,79,358,b
pasta,Pâtes spaghetti n°5 1kg,13,2,71,359,a
pasta,GIRASOLI RICOTTA EPINARD,8.1,10,29,244,d
pasta,Penne Rigate,13,2,71,359,a
pasta,Les Crozets au Sarrasin,13,3,70,365,a
pasta,Pâtes linguine collezione 500g,13,2,71,359,a
pasta,Penne Rigate Senza Glutine,6.5,1.5,79,358,b
pasta,Plaisir du Primeur -  Girasoli cèpes,8.7,8.4,32,250,c
pasta,Pasta Barilla,13,2,71,359,a
pasta,Le Ravioli pur boeuf,3.8,2.3,13,87,c
pasta,Ravioli bio au blé complet épinards ricotta burrata,9.9,11,27,254,c
pasta,Spaghetti au Quinoa Tomate,11,1.9,74,366,a
pasta,"Soupe Thai  (Nouilles, champignons et pousses de soja)  د تای سوپ",,,,,c
pasta,Pâtes fraîches jambon cru,15,8.3,39,293,d
pasta,Buldak Hot Chicken Flavor Ramen,7,15,66,427,unknown
pasta,Ravioli pur bœuf  sans colorant ni conservateur,3.8,2.3,13,87,c
pasta,Fussili,14.5,1.6,69.5,356,a
pasta,VERMICELLES DE RIZ,2.24,0.64,30.72,133.720930232558,b
pasta,Pâtes coquillettes 1kg,13,2,71,359,a
pasta,gnocchi di patate,5,0.4,33,158.699808795411,c
pasta,Pastabox Bolognaise,7.5,2.8,17,126.969696969697,b
pasta,Indomie,10,15,66,436.619718309859,unknown
pasta,BARILLA TAGLIATELLE 500g,13,2,71,359,a
pasta,Penne Rigate N°66,14.5,1.6,69.5,361,a
pasta,Tire-bouchons semi-complets,12.3,1.6,71,357,a
pasta,Tortelloni Ricotta et épinards,9.2,10.8,34.2,276,d
pasta,Torti qualité supérieure 500g,12,2,72,361,a
pasta,Ramen soja caramel,,,,,b
pasta,Tagliatelles aux œufs frais,10,2.7,53,281,a
pasta,maggi,,,,,e
pasta,GIRASOLI PESTO ROSSO,9,13,30,282,c
pasta,Spaghetti blé complet Bio,13,1.9,65,343,a
pasta,Fusilli No. 34,14,1.5,69,351,a
pasta,Nouilles poulet teriyaki,1.6,4.1,10,84,unknown
pasta,Ravioli boeuf,9,7,40,264,c
pasta,Rummo Linguine N°13,14.5,1.6,69.5,356,a
pasta,lasagne,12,2,72,361,a
pasta,Spaghettini N°3,13,2,71,359,a
pasta,Pipe Rigate,13,2,71,359,a
pasta,Lustucru girasoli tomate basilic mozzarella 250g,8.5,9.1,31,245,d
pasta,Capellini Nr. 1,13,2,71,359,a
pasta,Linguine- Pâtes alimentaires de semoule et de blé dur 500G,13,2.5,64,347,a
pasta,Torsades complètes,14,2,64,336,a
pasta,Pâtes coquillettes 500g,13,2,71,359,a
pasta,coquillette,13,2.5,64,347,a
pasta,Buldak HOT Chicken Flavor Ramen,9.28,12.14,62.85,467,e
pasta,Beef Flavour,1.4,3.8,9,76,unknown
pasta,Coquillettes,12,2,72,361,a
pasta,Coquillettes semi-complètes,12.3,1.6,71,357,a
pasta,Girasoli Potiron & Petits Oignons Grillés Plaisir du Primeux,8.8,7.8,32,247,b
pasta,Shrimp Flavour,1.3,3.6,9.2,75,unknown
pasta,Nouilles en nid,5,0.8,27,135,a
pasta,Ramen saveur boeuf,5.2,0.8,32,160,unknown
